rank,raceNumber,name,ageGroup,team,swim,t1,bike,t2,run,total,gap
44,4605,Fernanda Marques Santinha,50-54,Clube Oriental de Lisboa,00:13:35,00:01:24,00:39:24,00:00:29,00:21:23,01:16:15,00:15:33
45,4768,Dina Martins,45-49,Fc Ferreiras,00:15:26,00:01:40,00:37:39,00:00:15,00:21:21,01:16:21,00:15:39
46,1901,Cláudia Orvalho,CAD,Clube de Natação de Torres Novas,00:11:57,00:00:57,00:39:20,00:00:16,00:24:28,01:16:58,00:16:16
47,2290,Maria Rodrigues,JUN,Outsystems Olímpico de Oeiras,00:10:09,00:00:42,00:42:39,00:00:17,00:23:21,01:17:08,00:16:26
48,2900,Bila Duarte,35-39,Triatlo de Faro,00:11:19,00:01:09,00:39:43,00:00:46,00:24:14,01:17:11,00:16:29
49,3175,Marta Barbosa,20-24,CNCVG,00:11:56,00:00:47,00:39:33,00:00:19,00:24:54,01:17:29,00:16:47
50,3370,Sara Flora,30-34,CNATRIL Triatlo,00:13:24,00:01:04,00:41:20,00:00:09,00:21:45,01:17:42,00:17:00
51,2770,Camila Medici,35-39,Estoril Praia Credibom,00:15:15,00:00:54,00:36:00,00:00:28,00:25:23,01:18:00,00:17:18
52,3811,Joana Moura,30-34,Clube Oriental de Lisboa,00:13:39,00:01:27,00:37:03,00:00:34,00:28:02,01:20:45,00:20:03
53,5077,Ruth da Cunha,50-54,Outsystems Olímpico de Oeiras,00:15:58,00:01:05,00:39:03,00:00:17,00:24:23,01:20:46,00:20:04
54,5332,Catia Curica,40-44,Outsystems Olímpico de Oeiras,00:14:27,00:01:22,00:39:25,00:00:31,00:26:09,01:21:54,00:21:12
55,2759,Lenka Kratka,35-39,Triatlo de Faro,00:13:58,00:01:53,00:39:26,00:00:37,00:26:10,01:22:04,00:21:22
56,8088,Caroline Blache,40-44,Individual,00:14:48,00:01:37,00:42:57,00:00:17,00:23:40,01:23:19,00:22:37
57,4809,Cláudia Ferreira,50-54,Lusitano / Frusoal,00:13:08,00:01:04,00:41:40,00:00:28,00:27:00,01:23:20,00:22:38
58,2799,Andreia Lourenço,35-39,CNCVG,00:17:09,00:01:58,00:39:56,00:00:39,00:23:45,01:23:27,00:22:45
59,1870,Mariana Cabrita,CAD,Outsystems Olímpico de Oeiras,00:11:23,00:00:39,00:44:48,00:00:09,00:26:44,01:23:43,00:23:01
60,2260,Maria Inês França,JUN,CNCVG,00:13:12,00:00:58,00:42:02,00:01:08,00:26:27,01:23:47,00:23:05
61,3232,Marta Alexandra Costa,30-34,Clube de Triatlo do Fundão,00:17:29,00:02:21,00:40:18,00:00:39,00:23:30,01:24:17,00:23:35
62,2977,Ester Castelo,35-39,Vela de Tavira,00:15:16,00:01:15,00:42:38,00:00:15,00:24:57,01:24:21,00:23:39
63,2747,Andreia Tourais,35-39,Outsystems Olímpico de Oeiras,00:17:37,00:01:42,00:39:50,00:00:31,00:24:48,01:24:28,00:23:46
64,4223,Teresa Sepúlveda,40-44,Clube Oriental de Lisboa,00:16:16,00:01:49,00:40:44,00:00:55,00:25:36,01:25:20,00:24:38
65,4638,Sara Colaço,45-49,Clube Oriental de Lisboa,00:13:56,00:01:44,00:43:06,00:00:46,00:26:05,01:25:37,00:24:55
66,3400,Vitória Revytskyy,20-24,Aminata Triatlo,00:13:10,00:01:07,00:44:31,00:00:17,00:26:54,01:25:59,00:25:17
67,4356,Sofia Sousa,40-44,Outsystems Olímpico de Oeiras,00:12:58,00:01:15,00:45:16,00:00:34,00:25:59,01:26:02,00:25:20
68,3120,Alexandra Quintaneiro,35-39,Aminata Triatlo,00:16:37,00:02:09,00:42:40,00:00:38,00:24:03,01:26:07,00:25:25
69,1534,Beatriz Sequeira,CAD,Lusitano / Frusoal,00:11:55,00:01:14,00:45:56,00:00:22,00:26:57,01:26:24,00:25:42
70,5525,Tânia Rodrigues,40-44,AmoraSub/Associação Naval Amorense,00:15:32,00:02:08,00:40:53,00:00:37,00:27:29,01:26:39,00:25:57
71,4558,Maria João Rico,50-54,Clube de Triatlo do Fundão,00:18:38,00:01:24,00:43:01,00:00:32,00:23:09,01:26:44,00:26:02
72,1821,Mariana Paulino,CAD,CNCVG,00:11:13,00:01:18,00:45:28,00:00:15,00:28:41,01:26:55,00:26:13
73,4754,Alexandra Amaral,55-59,Aminata Triatlo,00:16:59,00:02:13,00:42:15,00:00:40,00:24:53,01:27:00,00:26:18
74,4603,Isabel Augusto,50-54,Mirachoro Hotels/CCP/Churrasqueira do Vau,00:15:53,00:02:01,00:42:18,00:00:55,00:26:12,01:27:19,00:26:37
75,5010,Telma Sofia Farias Ramires,40-44,Triatlo de Faro,00:15:22,00:01:41,00:43:38,00:00:54,00:26:38,01:28:13,00:27:31
76,5211,Ana Duarte,45-49,Outsystems Olímpico de Oeiras,00:16:29,00:01:10,00:41:12,00:00:35,00:28:58,01:28:24,00:27:42
77,5056,Daniela Langaro,50-54,Outsystems Olímpico de Oeiras,00:15:01,00:00:57,00:39:40,00:00:45,00:32:09,01:28:32,00:27:50
78,8086,Soraia Santos,45-49,Individual,00:15:12,00:02:37,00:42:51,00:00:47,00:29:03,01:30:30,00:29:48
79,2678,Susana Alemão,35-39,Mirachoro Hotels/CCP/Churrasqueira do Vau,00:21:20,00:01:29,00:39:19,00:00:18,00:28:09,01:30:35,00:29:53
80,5609,Ana Bárbara,50-54,Mirachoro Hotels/CCP/Churrasqueira do Vau,00:14:52,00:01:42,00:45:30,00:00:28,00:28:54,01:31:26,00:30:44
81,1863,Matilde Branco,CAD,Outsystems Olímpico de Oeiras,00:13:07,00:00:58,00:53:06,00:00:21,00:25:54,01:33:26,00:32:44
82,1533,Matilde Martins,CAD,Lusitano / Frusoal,00:13:07,00:00:48,00:53:15,00:00:13,00:26:05,01:33:28,00:32:46
83,8080,Aida Costa,25-29,CNCVG,00:21:12,00:01:32,00:49:35,00:00:20,00:28:08,01:40:47,00:40:05
