rank,raceNumber,name,ageGroup,team,swim,t1,bike,t2,run,time,gap
1,2823,Maria Tomé,ELITE,Outsystems Olímpico de Oeiras,00:18:52,00:01:46,01:11:03,00:00:22,00:35:24,02:07:27,00:00:00
2,3529,Gabriela Ribeiro,ELITE,Alhandra Sporting Club,00:18:38,00:02:01,01:11:03,00:00:20,00:38:32,02:10:34,00:03:07
3,2514,Inês Oliveira,ELITE,Sporting Clube de Portugal,00:20:31,00:01:38,01:12:43,00:00:22,00:38:47,02:14:01,00:06:34
4,2564,Ana Ramos,ELITE,Alhandra Sporting Club,00:20:25,00:01:40,01:12:46,00:00:22,00:39:42,02:14:55,00:07:28
5,2155,Beatriz Nunes Santos,JUN,Outsystems Olímpico de Oeiras,00:20:07,"0,00125","0,050625",00:00:22,00:41:20,02:16:31,00:09:04
6,2816,Joana Oliveira,ELITE,Clube de Natação de Torres Novas,00:20:35,00:02:00,,,00:40:48,02:19:03,00:11:36
7,2560,Maria Medeiro,ELITE,Outsystems Olímpico de Oeiras,00:23:28,00:02:06,,,,02:27:27,00:20:00
DNF,3560,Joana Miranda,ELITE,Clube de Natação de Torres Novas,00:20:09,00:01:53,,,,DNF,
