rank,raceNumber,name,ageGroup,team,swim,t1,bike,t2,run,time,gap
1,2962,Ricardo Batista,ELITE,Clube de Natação de Torres Novas,00:16:59,00:01:32,00:59:20,00:00:24,00:31:21,01:49:36,00:00:00
2,2189,Alexandre Montez,JUN,Outsystems Olímpico de Oeiras,00:17:08,00:01:27,00:59:16,00:00:18,00:31:43,01:49:52,00:00:16
3,8326,Miguel Tiago Silva,ELITE,Outsystems Olímpico de Oeiras,00:16:59,00:01:30,00:59:22,00:00:19,00:32:17,01:50:27,00:00:51
4,3786,João Mansos,ELITE,Sporting Clube de Portugal,00:18:00,00:01:29,01:00:43,00:00:19,00:31:01,01:51:32,00:01:56
5,3769,Alexandre Nobre,ELITE,Sport Lisboa e Benfica,00:18:02,-,-,00:00:28,00:31:17,01:51:58,00:02:22
6,3873,João Francisco Ferreira,ELITE,CNATRIL Triatlo,00:19:06,00:01:27,00:59:45,00:00:24,00:32:15,01:52:57,00:03:21
7,2824,Gonçalo Oliveira,ELITE,Outsystems Olímpico de Oeiras,00:18:05,00:01:31,01:00:38,00:00:20,00:33:05,01:53:39,00:04:03
8,2825,João Chagas,ELITE,Outsystems Olímpico de Oeiras,00:18:01,00:01:30,01:00:44,00:00:20,00:33:12,01:53:47,00:04:11
9,3803,Pedro Afonso Pinto Gaspar,ELITE,Alhandra Sporting Club,00:17:31,00:01:32,01:01:09,00:00:21,00:34:02,01:54:35,00:04:59
10,2623,Guilherme Pires,ELITE,Clube de Natação de Torres Novas,,,,,,01:55:19,00:05:43
11,2148,Abel Afonso,JUN,Clube de Natação de Torres Novas,00:17:59,00:01:28,01:00:47,00:00:20,00:36:03,01:56:37,00:07:01
12,3778,Gil Maia,ELITE,Estoril Praia Credibom,00:19:03,00:01:30,01:03:35,00:00:22,00:32:23,01:56:53,00:07:17
13,2227,João Canadas,JUN,Outsystems Olímpico de Oeiras,00:18:00,00:01:33,01:00:44,00:00:21,00:36:39,01:57:17,00:07:41
14,2619,António Barata,ELITE,Sport Lisboa e Benfica,00:20:13,00:01:35,01:02:17,00:00:19,00:33:10,01:57:34,00:07:58
15,2840,Hugo Figueiredo,ELITE,Sporting Clube de Portugal,00:19:10,00:01:28,01:03:30,00:00:22,00:34:14,01:58:44,00:09:08
16,2162,João Dias,JUN,Sporting Clube de Portugal,00:19:35,00:01:37,01:02:54,00:00:24,00:36:33,02:01:03,00:11:27
17,2228,Tomás Felício,JUN,Outsystems Olímpico de Oeiras,00:18:01,00:01:34,01:04:34,00:00:21,00:38:05,02:02:35,00:12:59
18,2827,Afonso Nunes,ELITE,Alhandra Sporting Club,00:19:07,00:01:30,01:04:10,00:00:26,00:37:39,02:02:52,00:13:16
19,2620,José Felício,ELITE,Outsystems Olímpico de Oeiras,00:19:36,00:01:54,01:11:51,00:00:18,00:41:09,02:14:48,00:25:12
20,2577,João Canas,ELITE,Sporting Clube de Portugal,00:21:49,00:01:33,01:09:57,00:00:21,00:42:08,02:15:48,00:26:12
DNF,2518,André Dias,ELITE,Sporting Clube de Portugal,00:17:50,00:01:30,01:00:56,00:00:21,,DNF,
DNF,2812,José Pedro Vieira,ELITE,Clube de Natação de Torres Novas,00:18:03,00:01:35,,,,DNF,
DNS,2624,Tiago Fonseca,ELITE,Outsystems Olímpico de Oeiras,,,,,,DNS,
DNS,3107,Luis Velasquez Ramos,ELITE,Clube de Natação de Torres Novas,,,,,,DNS,
DNS,3269,Miguel Arraiolos,ELITE,Sport Lisboa e Benfica,,,,,,DNS,
