rank,raceNumber,name,ageGroup,team,swim,t1,bike,t2,run,total,gap
1,3013,João José Pereira,35-39,Sport Lisboa e Benfica,00:08:33,00:00:32,00:27:47,00:00:05,00:15:42,00:52:39,00:00:00
2,2561,Miguel Tiago Silva,20-24,Outsystems Olímpico de Oeiras,00:08:26,00:00:35,00:27:49,00:00:01,00:15:54,00:52:45,00:00:06
3,2518,André Dias,25-29,Outsystems Olímpico de Oeiras,00:08:33,00:00:34,00:27:47,00:00:09,00:16:19,00:53:22,00:00:43
4,2624,Tiago Fonseca,20-24,Clube de Natação de Torres Novas,00:08:59,00:00:40,00:28:22,00:00:02,00:15:38,00:53:41,00:01:02
5,2962,Ricardo Batista,20-24,Clube de Natação de Torres Novas,00:08:34,00:00:34,00:28:52,00:00:03,00:15:39,00:53:42,00:01:03
6,3769,Alexandre Nobre,25-29,Sport Lisboa e Benfica,00:08:41,00:00:47,00:28:34,00:00:05,00:15:45,00:53:52,00:01:13
7,1835,João Nuno Batista,CAD,Clube de Natação de Torres Novas,00:08:37,00:00:43,00:28:43,00:00:10,00:15:41,00:53:54,00:01:15
8,3803,Pedro Afonso Pinto Gaspar,25-29,Outsystems Olímpico de Oeiras,00:08:55,00:00:39,00:28:28,00:00:03,00:15:52,00:53:57,00:01:18
9,2824,Gonçalo Oliveira,20-24,Clube de Natação de Torres Novas,00:08:50,00:00:47,00:28:27,00:00:05,00:15:52,00:54:01,00:01:22
10,2825,João Chagas,20-24,Outsystems Olímpico de Oeiras,00:08:37,00:01:07,00:28:19,00:00:01,00:16:24,00:54:28,00:01:49
11,3156,François Vie,20-24,Alhandra Sporting Club,00:08:54,00:00:38,00:28:31,00:00:05,00:16:26,00:54:34,00:01:55
12,3873,João Francisco Ferreira,25-29,Clube de Natação de Torres Novas,00:09:05,00:01:00,00:27:54,00:00:13,00:16:27,00:54:39,00:02:00
13,3786,João Mansos,25-29,Sporting Clube de Portugal,00:08:42,00:00:50,00:28:35,00:00:05,00:16:30,00:54:42,00:02:03
14,2252,Gustavo do Canto,JUN,Clube de Natação de Torres Novas,00:08:57,00:00:40,,,00:16:38,00:54:43,00:02:04
15,2253,Antonio Vaz Pedro,JUN,Outsystems Olímpico de Oeiras,00:08:32,00:00:48,00:28:44,00:00:06,00:16:38,00:54:48,00:02:09
